"Probe Set ID","GeneChip Array","Species Scientific Name","Annotation Date","Sequence Type","Sequence Source","Transcript ID","Target Description","Representative Public ID","Archival UniGene Cluster","Genome Version","Alignments","Overlapping Transcripts","Gene Title","Gene Symbol","Chromosomal Location","UniGene ID","Ensembl","LocusLink","SwissProt","EC","OMIM","RefSeq Protein ID","RefSeq Transcript ID","FlyBase","AGI","WormBase","MGI Name","RGD Name","SGD accession number","Gene Ontology Biological Process","Gene Ontology Cellular Component","Gene Ontology Molecular Function","Pathway","Protein Families","Protein Domains","InterPro","Trans Membrane","QTL"
"1438_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","X75208cds","X75208 /FEATURE=cds /DEFINITION=HSPTKR H.sapiens HEK2 mRNA for protein tyrosine kinase receptor","X75208","---","July 2003 (NCBI 34)","chr3:185600936-185620323 (+) // 99.73 // q27.1","NM_004443 // EphB3 // chr3:185600499-185621108 (+)","EphB3 /// EphB3","EPHB3","Chr:3q21-qter","Hs.2913","ENSG00000182580","2049","P54753 /// Q7Z740","EC:2.7.1.112","601839","NP_004434","NM_004443","---","---","---","---","---","---","6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7165 // signal transduction // traceable author statement /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation","5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation","4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5003 // ephrin receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation","---","ec // ZA70_HUMAN // ZA70_HUMAN EC:2.7.1.112:TYROSINE-PROTEIN KINASE ZAP-70 (EC 2.7.1.112) (70 KDA ZETA-ASSOCIATED PROTEIN) (SYK-RELATED TYROSINE KINASE). // --- /// Hanks // HEK2 // S37627 (HEK2) KINASES:5.2.10 | PTK Group B membrane spanning protein tyrosine kinases.PTK XI Eph/Elk/Eck orphan receptor family .HEK2 // ---","scop // d1b4fa_ // d1b4fa_ SCOP:a.60.1.2:| EphB2 receptor // --- /// scop // d1bpv__ // d1bpv__ SCOP:b.1.2.1:| Type I titin module // --- /// scop // d1jpaa_ // d1jpaa_ SCOP:d.144.1.7:| ephb2 receptor tyrosine kinase // --- /// scop // d1kgya_ // d1kgya_ SCOP:b.18.1.4:| Ligand-binding domain of the ephb2 receptor tyrosine kinase // --- /// scop // d4mt2__ // d4mt2__ SCOP:g.46.1.1:| Metallothionein // --- /// scop // g1qrj.1 // g1qrj.1 SCOP:a.73.1.1:| HTLV-I capsid protein // ---","IPR008266 // Tyrosine protein kinase, active site /// IPR001090 // Ephrin receptor, ligand binding /// IPR000345 // Cytochrome c  heme-binding site /// IPR001660 // Sterile alpha motif SAM /// IPR001426 // Receptor tyrosine kinase, class V /// IPR003961 // Fibronectin, type III /// IPR000719 // Protein kinase /// IPR002290 // Serine/threonine protein kinase /// IPR001245 // Tyrosine protein kinase","---","---"
"1487_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","L38487mRNA"," L38487 /FEATURE=mRNA /DEFINITION=HUMHERRA1 Human estrogen receptor-related protein (hERRa1) mRNA, 3' end, partial cds ","L38487","---","July 2003 (NCBI 34)","chr11:63848403-63859570 (+) // 99.91 // q13.1 /// chr13:17931379-17933412 (-) // 75.11 // q12.11 /// chr13:19632459-19634496 (+) // 77.01 // q12.11","NM_004451 // estrogen-related receptor alpha // chr11:63848403-63859570 (+)","estrogen-related receptor alpha /// estrogen-related receptor alpha","ESRRA","Chr:11q13","Hs.110849","ENSG00000173153","2101","AAH63795 /// P11474 /// Q8N4S8 /// Q96F89 /// Q96I02","---","601998","NP_004442","NM_004451","---","---","---","---","---","---","6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation","5634 // nucleus // traceable author statement","3700 // transcription factor activity // inferred from electronic annotation /// 3707 // steroid hormone receptor activity // inferred from electronic annotation /// 5496 // steroid binding // inferred from electronic annotation","Nuclear_Receptors /// Nuclear_Receptors","---","scop // d1kv6a_ // d1kv6a_ SCOP:a.123.1.1:| Orphan nuclear receptor ERR3 // --- /// scop // d1lo1a_ // d1lo1a_ SCOP:g.39.1.2:| Steroid hormone receptor Err2 // ---","---","---","---"
"1494_f_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","M33318mRNA"," M33318 /FEATURE=mRNA /DEFINITION=HUMCPIIA3A Human cytochrome P450IIA3 (CYP2A3) mRNA, complete cds ","M33318","---","July 2003 (NCBI 34)","chr19:46041286-46048179 (-) // 99.6 // q13.2 /// chr19:46073184-46079963 (-) // 63.22 // q13.2 /// chr19:46105975-46225472 (-) // 50.8 // q13.2 /// chr19:46286211-46293938 (+) // 83.75 // q13.2","NM_000762 // cytochrome P450, family 2, subfamily A, polypeptide 6 // chr19:46041283-46048180 (-) /// NM_000764 // cytochrome P450, family 2, subfamily A, polypeptide 7 // chr19:46073183-46080497 (-) /// NM_000766 // cytochrome P450, family 2, subfamily A, polypeptide 13 // chr19:46286207-46293939 (+) /// NM_030589 // cytochrome P450, family 2, subfamily A, polypeptide 7 // chr19:46073183-46080497 (-)","cytochrome P450, family 2, subfamily A, polypeptide 6 /// cytochrome P450, family 2, subfamily A, polypeptide 6","CYP2A6","Chr:19q13.2","Hs.439056","ENSG00000167584","1548","P11509","EC:1.14.14.1","122720","NP_000753","NM_000762","---","---","---","---","---","---","6118 // electron transport // inferred from electronic annotation","5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // traceable author statement /// 16020 // membrane // inferred from electronic annotation","8389 // coumarin 7-hydroxylase activity // traceable author statement /// 16712 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 19825 // oxygen binding // traceable author statement","Fatty acid metabolism /// gamma-Hexachlorocyclohexane degradation /// Tryptophan metabolism /// Fatty acid metabolism /// gamma-Hexachlorocyclohexane degradation /// Tryptophan metabolism","ec // CP4Y_HUMAN // CP4Y_HUMAN EC:1.14.15.3:CYTOCHROME P450 4A11 PRECURSOR (EC 1.14.15.3) (CYPIVA11) (FATTY ACID OMEGA-HYDROXYLASE) (P-450 HK OMEGA) (LAURIC ACID OMEGA-HYDROXYLASE) (CYP4AII) (P450-HL-OMEGA). // --- /// ec // CP80_BERST // CP80_BERST EC:1.1.3.34:BERBAMUNINE SYNTHASE (EC 1.1.3.34) (CYTOCHROME P450 80) (CYPLXXX) ((S)-N-METHYLCOCLAURINE OXIDASE [C-O PHENOL-COUPLING]). // --- /// ec // CPT7_HUMAN // CPT7_HUMAN EC:1.14.99.9:CYTOCHROME P450 17 (EC 1.14.99.9) (CYPXVII) (P450-C17) (STEROID 17-ALPHA-HYDROXYLASE/17,20 LYASE). // --- /// ec // CPV1_HUMAN // CPV1_HUMAN EC:1.14.14.1:CYTOCHROME P450 19 (AROMATASE) (EC 1.14.14.1) (CYPXIX) (ESTROGEN SYNTHETASE) (P-450AROM). // --- /// ec // TCMO_ZINEL // TCMO_ZINEL EC:1.14.13.11:TRANS-CINNAMATE 4-MONOOXYGENASE (EC 1.14.13.11) (CINNAMIC ACID 4-HYDROXYLASE) (CA4H) (C4H) (P450C4H) (CYTOCHROME P450 73). // --- /// ec // THAS_HUMAN // THAS_HUMAN EC:5.3.99.5:THROMBOXANE-A SYNTHASE (EC 5.3.99.5) (TXA SYNTHASE) (TXS). // --- /// P450 // S32491 // CYP2A-12 Cyt P450: Animalia.CYP2A-12.mou // ---","scop // d1og2a_ // d1og2a_ SCOP:a.104.1.1:| Cytochrome p450 2c9 // ---","IPR001128 // Cytochrome P450","---","---"
"1552256_a_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.180616.1","gb:NM_005505.2 /DB_XREF=gi:21361199 /GEN=SCARB1 /TID=Hs2.180616.1 /CNT=302 /FEA=FLmRNA /TIER=FL+Stack /STK=102 /LL=949 /UG=Hs.180616 /DEF=Homo sapiens scavenger receptor class B, member 1 (SCARB1), mRNA. /PROD=scavenger receptor class B, member 1 /FL=gb:NM_005505.2","NM_005505","180616","July 2003 (NCBI 34)","chr12:123614925-123701618 (-) // 67.78 // q24.31","NM_005505 // scavenger receptor class B, member 1 // chr12:123615274-123701433 (-)","scavenger receptor class B, member 1","SCARB1","Chr:12q24.31","Hs.130981","ENSG00000073060","949","Q8WTV0 /// Q9NR60","---","601040","NP_005496","NM_005505","---","---","---","---","---","---","7155 // cell adhesion // inferred from electronic annotation","16021 // integral to membrane // inferred from electronic annotation","4872 // receptor activity // inferred from electronic annotation","---","---","scop // d1ejfa_ // d1ejfa_ SCOP:b.15.1.2:| Co-chaperone p23 // ---","IPR002159 // CD36 antigen","---","---"
"1552257_a_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.82563.1","gb:NM_015140.1 /DB_XREF=gi:11056035 /TID=Hs2.82563.1 /CNT=210 /FEA=FLmRNA /TIER=FL+Stack /STK=57 /LL=23170 /UG_GENE=KIAA0153 /UG=Hs.82563 /UG_TITLE=KIAA0153 protein /DEF=Homo sapiens KIAA0153 protein (KIAA0153), mRNA. /FL=gb:NM_015140.1 gb:BC001070.1","NM_015140","82563","July 2003 (NCBI 34)","chr22:41793180-41814080 (-) // 97.04 // q13.2","NM_015140 // KIAA0153 protein // chr22:41793568-41814016 (-)","KIAA0153 protein","KIAA0153","Chr:22q13.31","Hs.82563","ENSG00000100304","23170","BAC85691 /// Q14166 /// Q9BR23","---","---","NP_055955","NM_015140","---","---","---","---","---","---","6464 // protein modification // inferred from electronic annotation","---","4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation","---","ec // TTL_PIG // TTL_PIG EC:6.3.2.25:TUBULIN--TYROSINE LIGASE (EC 6.3.2.25) (TTL). // ---","scop // d1b77a2 // d1b77a2 SCOP:d.131.1.2:| gp45 sliding clamp // ---","IPR004344 // Tubulin-tyrosine ligase","---","---"
"1552258_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.432419.1","gb:NM_052871.1 /DB_XREF=gi:16418372 /TID=Hs2.432419.1 /CNT=37 /FEA=FLmRNA /TIER=FL+Stack /STK=25 /LL=112597 /UG_GENE=MGC4677 /UG=Hs.432419 /UG_TITLE=hypothetical protein MGC4677 /DEF=Homo sapiens hypothetical protein MGC4677 (MGC4677), mRNA. /FL=gb:BC010491.1 gb:NM_052871.1","NM_052871","432419","July 2003 (NCBI 34)","chr2:112282034-112283631 (-) // 72.11 // q13 /// chr2:87721581-87723178 (+) // 72.72 // p11.2","NM_052871 // hypothetical protein MGC4677 // chr2:87721581-87723172 (+)","hypothetical protein MGC4677","MGC4677","Chr:2p11.2","Hs.432419","ENSG00000184943","112597","Q969Y7 /// Q96C48","---","---","NP_443103","NM_052871","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"1552261_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.2719.2","gb:NM_080735.1 /DB_XREF=gi:18379359 /GEN=WFDC2 /TID=Hs2.2719.2 /CNT=26 /FEA=FLmRNA /TIER=FL+Stack /STK=23 /LL=10406 /UG=Hs.2719 /DEF=Homo sapiens WAP four-disulfide core domain 2 (WFDC2), transcript variant 5, mRNA. /PROD=WAP four-disulfide core domain 2, isoform 5 /FL=gb:NM_080735.1 gb:AF330261.1","NM_080735","2719","July 2003 (NCBI 34)","chr20:44793598-44795600 (+) // 88.62 // q13.12","NM_080735 // WAP four-disulfide core domain 2 // chr20:44793913-44795600 (+)","WAP four-disulfide core domain 2","WFDC2","Chr:20q12-q13.2","Hs.2719","ENSG00000101443","10406","Q14508","---","---","NP_006094 /// NP_542771 /// NP_542772 /// NP_542773 /// NP_542774","NM_006103 /// NM_080733 /// NM_080734 /// NM_080735 /// NM_080736","---","---","---","---","---","---","---","---","---","---","---","scop // d2rel__ // d2rel__ SCOP:g.3.14.1:| Elafin, elastase-specific inhibitor // ---","IPR008197 // Whey acidic protein, core region /// NULL // Transmembrane Segment","gi18379358refNP_542772.1 // 1 // --- /// gi18379362refNP_542774.1 // 1 // --- /// gi18379356refNP_542771.1 // 1 // ---","---"
"1552263_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.324473.2","gb:NM_138957.1 /DB_XREF=gi:20986530 /GEN=MAPK1 /TID=Hs2.324473.2 /CNT=74 /FEA=FLmRNA /TIER=FL+Stack /STK=16 /LL=5594 /UG=Hs.324473 /DEF=Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA. /PROD=mitogen-activated protein kinase 1 /FL=gb:NM_138957.1 gb:BC017832.1","NM_138957","324473","July 2003 (NCBI 34)","chr22:20447872-20546524 (-) // 98.09 // q11.22","NM_138957 // mitogen-activated protein kinase 1 // chr22:20447885-20546524 (-)","mitogen-activated protein kinase 1","MAPK1","Chr:22q11.21","Hs.324473","ENSG00000100030","5594","P28482","EC:2.7.1","176948","NP_002736 /// NP_620407","NM_002745 /// NM_138957","---","---","---","---","---","---","6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 6917 // induction of apoptosis // traceable author statement /// 6935 // chemotaxis // traceable author statement /// 6950 // response to stress // traceable author statement /// 7049 // cell cycle // inferred from electronic annotation /// 7165 // signal transduction // traceable author statement /// 7268 // synaptic transmission // traceable author statement","---","4674 // protein serine/threonine kinase activity // not recorded /// 4707 // MAP kinase activity // traceable author statement /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4672 // pkinase;protein kinase activity;1.9e-88 // extended:Unknown /// 4672 // pkinase;protein kinase activity;2.1e-88 // extended:Unknown","MAPK_Cascade /// S1P_Signaling","ec // KPBH_HUMAN // KPBH_HUMAN EC:2.7.1.38:PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, TESTIS/LIVER ISOFORM (EC 2.7.1.38) (PHK-GAMMA-T) (PSK-C3) (PHOSPHORYLASE KINASE GAMMA SUBUNIT). // --- /// Hanks // ERK2 // ERK2_RAT (ERK2) KINASES:3.2.2 | CMCG Group.CMGC II ERK (MAP) .ERK2 // ---","scop // d1li4a1 // d1li4a1 SCOP:c.2.1.4:| S-adenosylhomocystein hydrolase // --- /// scop // d1pme__ // d1pme__ SCOP:d.144.1.7:| MAP kinase Erk2 // ---","IPR000719 // Protein kinase /// IPR008271 // Serine/threonine protein kinase, active site /// IPR003527 // MAP kinase /// IPR002290 // Serine/threonine protein kinase /// IPR001245 // Tyrosine protein kinase","---","---"
"1552264_a_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.324473.2","gb:NM_138957.1 /DB_XREF=gi:20986530 /GEN=MAPK1 /TID=Hs2.324473.2 /CNT=74 /FEA=FLmRNA /TIER=FL+Stack /STK=16 /LL=5594 /UG=Hs.324473 /DEF=Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA. /PROD=mitogen-activated protein kinase 1 /FL=gb:NM_138957.1 gb:BC017832.1","NM_138957","324473","July 2003 (NCBI 34)","chr22:20447872-20546524 (-) // 98.09 // q11.22","NM_002745 // mitogen-activated protein kinase 1 // chr22:20441432-20546524 (-) /// NM_138957 // mitogen-activated protein kinase 1 // chr22:20447885-20546524 (-)","mitogen-activated protein kinase 1","MAPK1","Chr:22q11.21","Hs.324473","ENSG00000100030","5594","P28482","EC:2.7.1","176948","NP_002736 /// NP_620407","NM_002745 /// NM_138957","---","---","---","---","---","---","6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 6917 // induction of apoptosis // traceable author statement /// 6935 // chemotaxis // traceable author statement /// 6950 // response to stress // traceable author statement /// 7049 // cell cycle // inferred from electronic annotation /// 7165 // signal transduction // traceable author statement /// 7268 // synaptic transmission // traceable author statement","---","4674 // protein serine/threonine kinase activity // not recorded /// 4707 // MAP kinase activity // traceable author statement /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 4672 // pkinase;protein kinase activity;1.9e-88 // extended:Unknown /// 4672 // pkinase;protein kinase activity;2.1e-88 // extended:Unknown","MAPK_Cascade /// S1P_Signaling","ec // KPBH_HUMAN // KPBH_HUMAN EC:2.7.1.38:PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, TESTIS/LIVER ISOFORM (EC 2.7.1.38) (PHK-GAMMA-T) (PSK-C3) (PHOSPHORYLASE KINASE GAMMA SUBUNIT). // --- /// Hanks // ERK2 // ERK2_RAT (ERK2) KINASES:3.2.2 | CMCG Group.CMGC II ERK (MAP) .ERK2 // ---","scop // d1li4a1 // d1li4a1 SCOP:c.2.1.4:| S-adenosylhomocystein hydrolase // --- /// scop // d1pme__ // d1pme__ SCOP:d.144.1.7:| MAP kinase Erk2 // ---","IPR000719 // Protein kinase /// IPR008271 // Serine/threonine protein kinase, active site /// IPR003527 // MAP kinase /// IPR001245 // Tyrosine protein kinase /// IPR002290 // Serine/threonine protein kinase","---","---"
"1552266_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.338203.1","gb:NM_145004.1 /DB_XREF=gi:21450712 /TID=Hs2.338203.1 /CNT=38 /FEA=FLmRNA /TIER=FL+Stack /STK=15 /LL=203102 /UG_GENE=MGC26899 /UG=Hs.338203 /UG_TITLE=hypothetical protein MGC26899 /DEF=Homo sapiens a disintegrin and metalloprotease domain 32 (ADAM32), mRNA. /FL=gb:BC030698.1 gb:NM_145004.1 gb:BC030014.1 gb:BC026085.1 gb:BC028702.1 gb:BC026169.1 gb:BC034975.1","NM_145004","338203","July 2003 (NCBI 34)","chr8:38982604-39159798 (+) // 94.71 // p11.23","NM_145004 // a disintegrin and metalloproteinase domain 32 // chr8:38982535-39159803 (+)","a disintegrin and metalloproteinase domain 32","ADAM32","Chr:8p11.22","Hs.338203","ENSG00000168619","203102","AAQ89099 /// BAC85238 /// BAC85489 /// Q8TC27 /// Q8TC42","---","---","NP_659441","NM_145004","---","---","---","---","---","---","6508 // proteolysis and peptidolysis // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation","---","4222 // metalloendopeptidase activity // inferred from electronic annotation","---","ec // DISJ_BOTJA // DISJ_BOTJA EC:3.4.24.73:PUTATIVE VENOM METALLOPROTEINASE JARARHAGIN PRECURSOR (EC 3.4.24.73) (HF2-PROTEINASE) [CONTAINS: DISINTEGRIN] (FRAGMENT). // --- /// ec // LSTP_STAST // LSTP_STAST EC:3.4.24.75:LYSOSTAPHIN PRECURSOR (EC 3.4.24.75) (GLYCYL-GLYCINE ENDOPEPTIDASE). // ---","scop // d1g1ta2 // d1g1ta2 SCOP:g.3.11.1:| E-selectin, EGF-domain // --- /// scop // d1i8kb_ // d1i8kb_ SCOP:b.1.1.1:| Immunoglobulin heavy chain variable domain, VH // --- /// scop // d1n4ya_ // d1n4ya_ SCOP:g.20.1.1:| Kistrin // --- /// scop // d1oav__ // d1oav__ SCOP:g.3.6.2:| omega-Agatoxin IV, IVa, IVb // --- /// scop // d4aig__ // d4aig__ SCOP:d.92.1.9:| Snake venom metalloprotease // ---","IPR001762 // Disintegrin /// IPR006209 // EGF-like domain /// IPR001590 // Peptidase M12B, ADAM/reprolysin /// IPR002870 // Peptidase M12B, propeptide /// IPR000742 // EGF-like domain, subtype 2 /// IPR006586 // ADAM, cysteine-rich","---","---"
"1552269_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Consensus sequence","GenBank","Hs2.99214.1","gb:NM_138796.1 /DB_XREF=gi:20270344 /TID=Hs2.99214.1 /CNT=32 /FEA=FLmRNA /TIER=FL+Stack /STK=14 /LL=128153 /UG_GENE=LOC128153 /UG=Hs.99214 /UG_TITLE=hypothetical protein BC014608 /DEF=Homo sapiens hypothetical protein BC014608 (LOC128153), mRNA. /FL=gb:NM_138796.1 gb:BC014608.1","NM_138796","99214","July 2003 (NCBI 34)","chr1:214861164-215096984 (+) // 97.59 // q41","NM_138796 // hypothetical protein BC014608 // chr1:214861192-215096982 (+)","hypothetical protein BC014608","LOC128153","Chr:1q41","Hs.99214","ENSG00000162814","128153","Q96L03","---","---","NP_620151","NM_138796","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
